w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,seed,setting,d,T,prior_acc,benchmark
0.526369026158715,0.31313786891478645,0.40440699935158414,0.25469387755102024,0.981132075471695,4.817946447204593e-07,919,0.7293650793650793,318,0.2767295597479268,460,0.6211726688832805,0.35464488406248496,0.42871189773801577,0.3118741058655217,0.6855345911949664,0.02821092517232176,581,0.46111111111111114,318,0.3836477987416372,392,0.6211726688832805,0.35464488406248496,0.42871189773801577,0.3118741058655217,0.6855345911949664,0.02821092517232176,581,0.46111111111111114,318,0.3836477987416372,392,PRCD-MAP(trust),0,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5776315613775054,0.3393798085947536,0.4097560975605469,0.2970297029702966,0.6603773584905639,1.1225885791463038e-05,605,0.4801587301587302,318,0.33333333333283227,424,0.6245576786978061,0.3587683157597141,0.4344422700582788,0.3153409090909086,0.6981132075471675,0.027610248057686505,578,0.4587301587301587,318,0.38679245282968744,390,0.6245576786978061,0.3587683157597141,0.4344422700582788,0.3153409090909086,0.6981132075471675,0.027610248057686505,578,0.4587301587301587,318,0.38679245282968744,390,PRCD-MAP(per-group),0,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5269064882693052,0.37115398780241754,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.33333333333283227,424,0.5518367183431478,0.3775747303474612,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31761006289258076,434,0.5518367183431478,0.3775747303474612,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31761006289258076,434,DYNOTEARS,0,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5944097263950647,0.37504085356353994,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.45283018867874386,348,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,PCMCI+,0,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5363037295196892,0.3105337152475939,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,VARLiNGAM,0,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5378526886458626,0.309798204635013,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.29874213836427893,446,0.6210858737598312,0.35238726015546135,0.431289640591519,0.3248407643312097,0.6415094339622621,0.03225603175522694,538,0.42698412698412697,318,0.3836477987416372,392,0.6210858737598312,0.35238726015546135,0.431289640591519,0.3248407643312097,0.6415094339622621,0.03225603175522694,538,0.42698412698412697,318,0.3836477987416372,392,PRCD-MAP(trust),1,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5688018267035212,0.3355942317471395,0.40827980014240367,0.2640812557710062,0.8993710691823871,3.6681588577111274e-06,829,0.6579365079365079,318,0.3238993710686814,430,0.6247245923967472,0.3581699711838094,0.43329989969866195,0.3181148748159053,0.6792452830188658,0.029139701819899097,565,0.44841269841269843,318,0.38679245282968744,390,0.6247245923967472,0.3581699711838094,0.43329989969866195,0.3181148748159053,0.6792452830188658,0.029139701819899097,565,0.44841269841269843,318,0.38679245282968744,390,PRCD-MAP(per-group),1,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5386471978528222,0.372776551315675,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.3427672955969832,418,0.539982507444351,0.3670227041361849,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.30188679245232924,444,0.539982507444351,0.3670227041361849,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.30188679245232924,444,DYNOTEARS,1,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5944097263950647,0.37504085356353994,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.45283018867874386,348,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,PCMCI+,1,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5363037295196892,0.3105337152475939,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,VARLiNGAM,1,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
