data,d,T,noise,prior_acc,seed,variant,variant_name,tau,time,w0_auroc,w0_auprc,w0_f1,w0_shd_norm,comb_auroc,comb_auprc,comb_f1,comb_shd_norm,experiment,auroc,auprc,f1_opt,shd_norm,f1_topk,target,top_m,n_features,rmse,mae
synthetic,10.0,500.0,gaussian,0.6,0,F,HardMask,,31.235754251480103,0.5438898450946643,0.12529761904761905,0.2352941176465467,0.14444444444444443,0.6193609022556391,0.2583333333333333,0.3999999999994972,0.23333333333333334,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,0,A,NoPrior,1.0,35.53621983528137,0.8932874354561101,0.7995052566481138,0.8571428571422346,0.022222222222222223,0.8984962406015038,0.7903197055922866,0.8148148148142551,0.05555555555555555,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,1,C,FullModel,0.7445982098579407,35.1345751285553,0.8201219512195121,0.5176587301587301,0.7499999999994063,0.044444444444444446,0.8035581912527798,0.5343180853227297,0.6046511627901762,0.18888888888888888,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,1,F,HardMask,,30.22386622428894,0.7179878048780488,0.29806533072662106,0.4210526315784155,0.12222222222222222,0.7383246849518162,0.45088645316973486,0.5945945945940628,0.16666666666666666,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,1,A,NoPrior,1.0,36.17603921890259,1.0,1.0,0.9999999999993749,0.0,0.8732394366197183,0.7832809977017643,0.7142857142851848,0.13333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,2,C,FullModel,0.7228004932403564,37.181721210479736,0.5377906976744186,0.1650681987173529,0.33333333333277776,0.044444444444444446,0.6578947368421053,0.3137524350795188,0.39130434782564644,0.3111111111111111,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,2,F,HardMask,,31.51322650909424,0.6540697674418605,0.5222222222222221,0.6666666666659999,0.022222222222222223,0.8101503759398496,0.6178048142333855,0.5714285714280588,0.16666666666666666,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,2,A,NoPrior,1.0,35.66578817367554,0.4680232558139535,0.16006698646299056,0.33333333333277776,0.044444444444444446,0.6278195488721804,0.2771201315896616,0.3809523809519184,0.28888888888888886,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,3,C,FullModel,0.9140329360961914,33.85008978843689,0.7682926829268293,0.45950540963197667,0.6666666666660799,0.05555555555555555,0.7810150375939849,0.5522196325321783,0.689655172413246,0.1,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,3,F,HardMask,,30.699689626693726,0.6928353658536586,0.3326264880952381,0.5333333333327644,0.07777777777777778,0.6607142857142858,0.35722569673030496,0.5217391304342609,0.12222222222222222,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,3,A,NoPrior,1.0,37.715622663497925,0.7423780487804879,0.34347142584500184,0.5882352941170795,0.07777777777777778,0.7396616541353384,0.4183443530065134,0.588235294117128,0.15555555555555556,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,4,C,FullModel,0.9200349450111389,36.79531645774841,0.6761363636363636,0.2672413793103448,0.49999999999924993,0.022222222222222223,0.9815880322209436,0.7778072937163846,0.8695652173907297,0.03333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,4,F,HardMask,,30.234589099884033,0.6619318181818181,0.2611111111111111,0.49999999999924993,0.022222222222222223,0.6352128883774454,0.3893939393939394,0.5555555555550185,0.08888888888888889,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.6,4,A,NoPrior,1.0,33.4526002407074,0.26136363636363635,0.02239819004524887,0.056338028168957735,0.7444444444444445,0.9090909090909091,0.626263306302832,0.8181818181812437,0.044444444444444446,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,0,C,FullModel,1.462157964706421,34.26502561569214,1.0,1.0,0.9999999999993572,0.0,0.981203007518797,0.9432129173508483,0.923076923076355,0.022222222222222223,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,0,F,HardMask,,30.276911973953247,1.0,1.0,0.9999999999993572,0.0,0.9586466165413533,0.920795177045177,0.8888888888883236,0.03333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,0,A,NoPrior,1.0,33.791078329086304,0.8932874354561101,0.7995052566481138,0.8571428571422346,0.022222222222222223,0.8984962406015038,0.7903197055922866,0.8148148148142551,0.05555555555555555,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,1,C,FullModel,1.5456082820892334,38.50630187988281,1.0,1.0,0.9999999999993749,0.0,0.9036323202372127,0.8353897507006798,0.799999999999458,0.07777777777777778,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,1,F,HardMask,,31.493049383163452,1.0,1.0,0.9999999999993749,0.0,0.9888806523350631,0.9599679345422378,0.8999999999994563,0.044444444444444446,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,1,A,NoPrior,1.0,35.364662647247314,1.0,1.0,0.9999999999993749,0.0,0.8732394366197183,0.7832809977017643,0.7142857142851848,0.13333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,2,C,FullModel,1.3838608264923096,38.85109090805054,0.8604651162790697,0.7692307692307692,0.8571428571421223,0.011111111111111112,0.8458646616541353,0.6408793379890363,0.5789473684205567,0.17777777777777778,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,2,F,HardMask,,0.8039045333862305,1.0,1.0,0.9999999999992499,0.0,0.9981203007518797,0.9901360544217687,0.9655172413787443,0.011111111111111112,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,2,A,NoPrior,1.0,35.19563007354736,0.4680232558139535,0.16006698646299056,0.33333333333277776,0.044444444444444446,0.6278195488721804,0.2771201315896616,0.3809523809519184,0.28888888888888886,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,3,C,FullModel,1.4556658267974854,38.158299684524536,1.0,1.0,0.9999999999993749,0.0,0.9511278195488722,0.9437229437229437,0.9629629629623923,0.011111111111111112,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,3,F,HardMask,,0.8022937774658203,1.0,1.0,0.9999999999993749,0.0,0.9210526315789473,0.8691609977324262,0.8799999999994369,0.03333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,3,A,NoPrior,1.0,33.16368269920349,0.7423780487804879,0.34347142584500184,0.5882352941170795,0.07777777777777778,0.7396616541353384,0.4183443530065134,0.588235294117128,0.15555555555555556,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,4,C,FullModel,1.1794567108154297,38.734291553497314,0.6761363636363636,0.5169491525423728,0.6666666666657777,0.011111111111111112,0.9838895281933256,0.828023743932835,0.8799999999994369,0.03333333333333333,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,4,F,HardMask,,0.8038468360900879,0.6960227272727272,0.5111111111111111,0.6666666666657777,0.011111111111111112,0.8929804372842348,0.8137741046831957,0.8181818181812437,0.044444444444444446,synthetic,,,,,,,,,,
synthetic,10.0,500.0,gaussian,0.9,4,A,NoPrior,1.0,34.317763328552246,0.26136363636363635,0.02239819004524887,0.056338028168957735,0.7444444444444445,0.9090909090909091,0.626263306302832,0.8181818181812437,0.044444444444444446,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,0,C,FullModel,0.165203258395195,40.27825117111206,0.7931034482758621,0.44469250307315034,0.5846153846148667,0.07105263157894737,0.8328508010036673,0.5631846856778,0.6518518518513424,0.12368421052631579,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,0,F,HardMask,,32.81027603149414,0.40750718390804597,0.1287399011153742,0.24999999999954514,0.09473684210526316,0.39572476355915853,0.19891318615374692,0.2959641255602847,0.8263157894736842,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,0,A,NoPrior,1.0,38.79794502258301,0.8216594827586207,0.476725356525152,0.6031746031740841,0.06578947368421052,0.7890851187029531,0.5476368177133433,0.6201550387591805,0.12894736842105264,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,1,C,FullModel,0.1079973354935646,40.04029726982117,0.8607954545454546,0.5720366470917843,0.727272727272201,0.039473684210526314,0.8703941620843825,0.6368968624841647,0.6666666666661626,0.09473684210526316,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,1,F,HardMask,,30.606772899627686,0.3323356331168831,0.11740225177064115,0.22222222222174223,0.09210526315789473,0.33668225499768745,0.20230292957175444,0.27664399092946557,0.8394736842105263,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,1,A,NoPrior,1.0,37.493370056152344,0.9800121753246753,0.8971609901941618,0.9473684210520985,0.007894736842105263,0.9022046353872244,0.7858992523131493,0.7692307692302692,0.06315789473684211,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,2,C,FullModel,0.7874999642372131,41.85038948059082,0.8321629213483146,0.5590735329449147,0.6399999999994752,0.04736842105263158,0.8264624409320515,0.606736893319486,0.6542056074761253,0.09736842105263158,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,2,F,HardMask,,33.99444890022278,0.3329822097378277,0.06985410545786469,0.17021276595693982,0.10263157894736842,0.36494486991472497,0.1678693101333456,0.2608695652171632,0.85,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,2,A,NoPrior,1.0,42.68756413459778,0.8560393258426966,0.639576581574213,0.666666666666159,0.034210526315789476,0.8300472543588072,0.6390645604015472,0.6428571428566315,0.10526315789473684,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,3,C,FullModel,0.05995593219995499,37.023045778274536,0.8520208604954368,0.5359123372865721,0.6666666666661424,0.042105263157894736,0.8285937499999999,0.5994674797074966,0.6825396825391729,0.10526315789473684,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,3,F,HardMask,,29.937071084976196,0.30991960017383746,0.07884995516415491,0.1499999999995375,0.08947368421052632,0.40260416666666665,0.19423737773682626,0.2727272727270359,0.8421052631578947,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,3,A,NoPrior,1.0,38.96623492240906,0.8177966101694915,0.45976603794453674,0.6222222222217066,0.04473684210526316,0.80625,0.5524855154011927,0.6290322580640065,0.12105263157894737,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,4,C,FullModel,0.05000000074505806,36.08944082260132,0.8889294848374132,0.6283155813634682,0.7555555555550221,0.02894736842105263,0.9157778779229884,0.7014625669212717,0.7401574803144491,0.0868421052631579,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.3,4,F,HardMask,,29.37384557723999,0.27085616855437833,0.06247690231770353,0.11414392059542529,0.9394736842105263,0.30444144008812773,0.158588769127883,0.2844243792322603,0.8342105263157895,synthetic,,,,,,,,,,
