d,T,graph,noise,K,prior_acc,prior_mode,seed,nonlinear,missing_ratio,method,tau,time,w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk
20,500,ER,gaussian,1,0.6,random,0,False,0.0,PRCD-MAP(learn_tau),1.3233304023742676,40.41760778427124,0.8648527298850575,0.5621124208552316,0.7241379310339631,0.8076923076922767,0.6562499999999795,0.1910721411058052,16,0.042105263157894736,32,0.6874999999994784,20,0.8737212893263848,0.7016934858047054,0.7328244274804049,0.7384615384615272,0.7272727272727163,0.08436951685191399,35,0.09210526315789473,66,0.7272727272722163,36,0.8737212893263848,0.7016934858047054,0.7328244274804049,0.7384615384615272,0.7272727272727163,0.08436951685191399,35,0.09210526315789473,66,0.7272727272722163,36
20,500,ER,gaussian,1,0.6,random,0,False,0.0,PRCD-MAP(fixed_tau),1.0,38.05384063720703,0.8886494252873562,0.5582857586934858,0.6885245901634129,0.7241379310344578,0.6562499999999795,0.1953102925314975,19,0.05,32,0.6874999999994784,20,0.9093321752557422,0.6912351534788443,0.6976744186041406,0.714285714285703,0.6818181818181716,0.08990473783195918,39,0.10263157894736842,66,0.6818181818176715,42,0.9093321752557422,0.6912351534788443,0.6976744186041406,0.714285714285703,0.6818181818181716,0.08990473783195918,39,0.10263157894736842,66,0.6818181818176715,42
20,500,ER,gaussian,1,0.6,random,0,False,0.0,PRCD-MAP(no_l1_weight),0.6263327598571777,35.2857232093811,0.7867277298850576,0.4062193584689455,0.5614035087714176,0.6399999999999745,0.49999999999998435,0.18408517502061086,25,0.06578947368421052,32,0.5312499999994833,30,0.8205944798301487,0.5410039485596129,0.6382978723399186,0.5999999999999921,0.6818181818181716,0.0776609332118202,51,0.13421052631578947,66,0.6363636363631268,48,0.8205944798301487,0.5410039485596129,0.6382978723399186,0.5999999999999921,0.6818181818181716,0.0776609332118202,51,0.13421052631578947,66,0.6363636363631268,48
20,500,ER,gaussian,1,0.6,random,0,False,0.0,PRCD-MAP(uniform),0.5000005960464478,35.626420736312866,0.7878951149425287,0.4275386136829797,0.5538461538456367,0.5454545454545289,0.5624999999999823,0.11855925746898555,29,0.07631578947368421,32,0.5312499999994833,30,0.8138390272148234,0.5439728285513206,0.6315789473679115,0.6268656716417818,0.6363636363636268,0.0918834245384638,49,0.12894736842105264,66,0.6363636363631268,48,0.8138390272148234,0.5439728285513206,0.6315789473679115,0.6268656716417818,0.6363636363636268,0.0918834245384638,49,0.12894736842105264,66,0.6363636363631268,48
20,500,ER,gaussian,1,0.6,random,0,False,0.0,DYNOTEARS,,40.06126856803894,0.39852729885057464,0.15431583665394094,0.279999999999528,0.3888888888888673,0.21874999999999314,0.45179296857747603,36,0.09473684210526316,32,0.24999999999949218,48,0.6809496236247828,0.31411528624795837,0.44318181818134444,0.35454545454545133,0.5909090909090821,0.09143429125972728,98,0.2578947368421053,66,0.36363636363585816,84,0.6809496236247828,0.31411528624795837,0.44318181818134444,0.35454545454545133,0.5909090909090821,0.09143429125972728,98,0.2578947368421053,66,0.36363636363585816,84
20,500,ER,gaussian,1,0.6,random,0,False,0.0,VARLiNGAM,,2.2510364055633545,0.67578125,0.24658338090572604,0.4126984126978997,0.4193548387096639,0.4062499999999873,0.27728366586453085,37,0.09736842105263158,32,0.4062499999994873,38,0.7248600656243968,0.3492920781087015,0.5060240963850571,0.4199999999999958,0.6363636363636268,0.04436538653832494,82,0.21578947368421053,66,0.4242424242419179,76,0.7248600656243968,0.3492920781087015,0.5060240963850571,0.4199999999999958,0.6363636363636268,0.04436538653832494,82,0.21578947368421053,66,0.4242424242419179,76
20,500,ER,gaussian,1,0.6,random,0,False,0.0,NGC,,12.599092483520508,0.584051724137931,0.11214019091630069,0.1824817518246099,0.10330578512396651,0.7812499999999756,0.702997363392432,224,0.5894736842105263,32,0.15624999999949513,54,0.5241266164833044,0.17937067649495314,0.3065693430654223,0.18260869565217336,0.9545454545454402,0.653742771052835,285,0.75,66,0.15151515151464925,112,0.5241266164833044,0.17937067649495314,0.3065693430654223,0.18260869565217336,0.9545454545454402,0.653742771052835,285,0.75,66,0.15151515151464925,112
20,500,ER,gaussian,1,0.6,random,0,False,0.0,PRCD-MAP(NAM),1.0546631813049316,11120.475064754486,0.49236709770114945,0.09246965631369092,0.17475728155296638,0.1267605633802799,0.2812499999999912,3.6561331051498615e-06,85,0.2236842105263158,32,0.1249999999994961,56,0.6990928392202277,0.5133262563599225,0.5322580645156225,0.5689655172413695,0.49999999999999245,0.08967653995183245,58,0.15263157894736842,66,0.4999999999994924,66,0.6990928392202277,0.5133262563599225,0.5322580645156225,0.5689655172413695,0.49999999999999245,0.08967653995183245,58,0.15263157894736842,66,0.4999999999994924,66
20,500,ER,gaussian,1,0.6,random,1,False,0.0,PRCD-MAP(learn_tau),0.930003821849823,40.73206043243408,0.8488230519480521,0.5224901665876152,0.6666666666661427,0.6923076923076658,0.6428571428571199,0.2034137698274162,18,0.04736842105263158,28,0.6428571428566199,20,0.8556452027339535,0.6400258290867745,0.6607142857137779,0.7254901960784171,0.6065573770491703,0.09620921545891307,38,0.1,61,0.6229508196716209,46,0.8556452027339535,0.6400258290867745,0.6607142857137779,0.7254901960784171,0.6065573770491703,0.09620921545891307,38,0.1,61,0.6229508196716209,46
20,500,ER,gaussian,1,0.6,random,1,False,0.0,PRCD-MAP(fixed_tau),1.0,34.87310242652893,0.7974837662337663,0.4297452931438235,0.5614035087714102,0.5517241379310155,0.5714285714285511,0.20056021393243992,25,0.06578947368421052,28,0.5357142857137666,26,0.8237319492265791,0.5508256857964398,0.59999999999949,0.6101694915254133,0.5901639344262198,0.10505535015508757,48,0.12631578947368421,61,0.5901639344257198,50,0.8237319492265791,0.5508256857964398,0.59999999999949,0.6101694915254133,0.5901639344262198,0.10505535015508757,48,0.12631578947368421,61,0.5901639344257198,50
