w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,seed,acc
0.9193606321839081,0.7019300897203784,0.7999999999994755,0.787878787878764,0.8124999999999746,0.1261368660471547,13,0.034210526315789476,32,0.7812499999994755,14,0.8826963906581741,0.712919789371251,0.7656249999994884,0.7903225806451485,0.7424242424242312,0.08409124403143647,30,0.07894736842105263,66,0.7575757575752461,32,0.8826963906581741,0.712919789371251,0.7656249999994884,0.7903225806451485,0.7424242424242312,0.08409124403143647,30,0.07894736842105263,66,0.7575757575752461,32,trust,0,0.8
0.8643139367816093,0.5640206741549851,0.6969696969691761,0.6764705882352742,0.7187499999999775,0.11985350793330513,20,0.05263157894736842,32,0.6874999999994784,20,0.8738660490252848,0.6592852949570114,0.7230769230764121,0.7343749999999886,0.7121212121212014,0.08515907142629575,36,0.09473684210526316,66,0.7121212121207015,38,0.8738660490252848,0.6592852949570114,0.7230769230764121,0.7343749999999886,0.7121212121212014,0.08515907142629575,36,0.09473684210526316,66,0.7121212121207015,38,per-group,0,0.8
0.9873173701298701,0.964153916475345,0.9642857142851798,0.9642857142856799,0.9642857142856799,0.0978446366199896,2,0.005263157894736842,28,0.9642857142851798,2,0.9484043373246313,0.8726810397671951,0.8333333333328262,0.9574468085106179,0.7377049180327747,0.0978446366199896,18,0.04736842105263158,61,0.7868852459011264,26,0.9484043373246313,0.8726810397671951,0.8333333333328262,0.9574468085106179,0.7377049180327747,0.0978446366199896,18,0.04736842105263158,61,0.7868852459011264,26,trust,1,0.8
0.929890422077922,0.7167075941855048,0.8571428571423264,0.8571428571428266,0.8571428571428266,0.15471688946287834,8,0.021052631578947368,28,0.8571428571423264,8,0.9289274885657023,0.8332089684054204,0.782608695651662,0.8333333333333178,0.7377049180327747,0.0999213244447756,25,0.06578947368421052,61,0.7540983606552253,30,0.9289274885657023,0.8332089684054204,0.782608695651662,0.8333333333333178,0.7377049180327747,0.0999213244447756,25,0.06578947368421052,61,0.7540983606552253,30,per-group,1,0.8
0.9309456928838951,0.782533152777042,0.7916666666661337,0.7916666666666338,0.7916666666666338,0.11833602100161451,10,0.02631578947368421,24,0.7916666666661337,10,0.8825702025962738,0.7655231211404043,0.7572815533975492,0.8478260869565033,0.6842105263157775,0.10190046252916805,25,0.06578947368421052,57,0.7368421052626449,30,0.8825702025962738,0.7655231211404043,0.7572815533975492,0.8478260869565033,0.6842105263157775,0.10190046252916805,25,0.06578947368421052,57,0.7368421052626449,30,trust,2,0.8
0.9403089887640449,0.8104859374597266,0.8333333333327986,0.8333333333332986,0.8333333333332986,0.08266050971333107,8,0.021052631578947368,24,0.8333333333327986,8,0.8877844766715551,0.7757518117768311,0.7735849056598655,0.836734693877534,0.7192982456140224,0.09976268413677887,24,0.06315789473684211,57,0.7368421052626449,30,0.8877844766715551,0.7757518117768311,0.7735849056598655,0.836734693877534,0.7192982456140224,0.09976268413677887,24,0.06315789473684211,57,0.7368421052626449,30,per-group,2,0.8
0.9372012168622339,0.792589214957292,0.8301886792447518,0.8148148148147847,0.8461538461538136,0.08657075352405184,9,0.02368421052631579,26,0.8076923076917767,10,0.8867708333333334,0.8167608817561312,0.8363636363631252,0.9199999999999816,0.7666666666666538,0.09522782887645702,18,0.04736842105263158,60,0.816666666666153,22,0.8867708333333334,0.8167608817561312,0.8363636363631252,0.9199999999999816,0.7666666666666538,0.09522782887645702,18,0.04736842105263158,60,0.816666666666153,22,trust,3,0.8
0.9426336375488918,0.8232853078115492,0.8461538461533136,0.8461538461538136,0.8461538461538136,0.08930472512940066,8,0.021052631578947368,26,0.8461538461533136,8,0.9064583333333334,0.8527188862540863,0.8347826086951385,0.8727272727272568,0.7999999999999866,0.08667811556677123,19,0.05,60,0.816666666666153,22,0.9064583333333334,0.8527188862540863,0.8347826086951385,0.8727272727272568,0.7999999999999866,0.08667811556677123,19,0.05,60,0.816666666666153,22,per-group,3,0.8
0.9433686518085496,0.7507508352086248,0.8444444444439072,0.8636363636363245,0.8260869565217033,0.18461576778085986,7,0.018421052631578946,23,0.8260869565212032,8,0.9504281207751238,0.8105557434613404,0.8120300751874591,0.7714285714285605,0.8571428571428436,0.0758243331957103,25,0.06578947368421052,63,0.793650793650281,26,0.9504281207751238,0.8105557434613404,0.8120300751874591,0.7714285714285605,0.8571428571428436,0.0758243331957103,25,0.06578947368421052,63,0.793650793650281,26,trust,4,0.8
0.9605407380343441,0.7977493938556391,0.851063829786698,0.8333333333332986,0.8695652173912666,0.12080364730489913,7,0.018421052631578946,23,0.8260869565212032,8,0.9581393019878823,0.841074557778958,0.813008130080788,0.8333333333333194,0.7936507936507811,0.09593230815389049,23,0.060526315789473685,63,0.8095238095232965,24,0.9581393019878823,0.841074557778958,0.813008130080788,0.8333333333333194,0.7936507936507811,0.09593230815389049,23,0.060526315789473685,63,0.8095238095232965,24,per-group,4,0.8
0.9415964419475655,0.7725132612558753,0.851063829786698,0.8695652173912666,0.8333333333332986,0.14355605241641328,7,0.018421052631578946,24,0.8333333333327986,8,0.9323559210918411,0.7757360995180059,0.7741935483865847,0.8571428571428367,0.7058823529411626,0.10133368405864467,21,0.05526315789473684,51,0.7647058823524261,24,0.9323559210918411,0.7757360995180059,0.7741935483865847,0.8571428571428367,0.7058823529411626,0.10133368405864467,21,0.05526315789473684,51,0.7647058823524261,24,trust,5,0.8
0.9365636704119851,0.7414253304546414,0.8260869565212042,0.8636363636363245,0.7916666666666338,0.17253180634436296,8,0.021052631578947368,24,0.7916666666661337,10,0.9406996841289708,0.7643506783994225,0.7799999999994844,0.7959183673469225,0.7647058823529261,0.09858960362535027,22,0.05789473684210526,51,0.7647058823524261,24,0.9406996841289708,0.7643506783994225,0.7799999999994844,0.7959183673469225,0.7647058823529261,0.09858960362535027,22,0.05789473684210526,51,0.7647058823524261,24,per-group,5,0.8
0.9822443181818181,0.8951237737554816,0.9642857142851798,0.9642857142856799,0.9642857142856799,0.16080580045230425,2,0.005263157894736842,28,0.9642857142851798,2,0.942530399536769,0.8621209018782834,0.8484848484843357,0.8484848484848357,0.8484848484848357,0.08191993607947574,20,0.05263157894736842,66,0.8484848484843357,20,0.942530399536769,0.8621209018782834,0.8484848484843357,0.8484848484848357,0.8484848484848357,0.08191993607947574,20,0.05263157894736842,66,0.8484848484843357,20,trust,6,0.8
0.9867086038961038,0.9653368678599094,0.9642857142851798,0.9642857142856799,0.9642857142856799,0.10903643603300928,2,0.005263157894736842,28,0.9642857142851798,2,0.9454255935147655,0.9039119499855153,0.8702290076330746,0.8769230769230635,0.8636363636363507,0.07905141612393173,17,0.04473684210526316,66,0.8636363636358506,18,0.9454255935147655,0.9039119499855153,0.8702290076330746,0.8769230769230635,0.8636363636363507,0.07905141612393173,17,0.04473684210526316,66,0.8636363636358506,18,per-group,6,0.8
0.981635551948052,0.909795086221115,0.9473684210520985,0.9310344827585887,0.9642857142856799,0.1373384657816671,3,0.007894736842105263,28,0.9285714285708955,4,0.9243402934254669,0.8516248898431613,0.8571428571423444,0.9107142857142694,0.8095238095237967,0.09553980228289886,17,0.04473684210526316,63,0.8571428571423435,18,0.9243402934254669,0.8516248898431613,0.8571428571423444,0.9107142857142694,0.8095238095237967,0.09553980228289886,17,0.04473684210526316,63,0.8571428571423435,18,trust,7,0.8
0.9802150974025974,0.8614010511629872,0.9310344827580892,0.89999999999997,0.9642857142856799,0.08792919639366956,4,0.010526315789473684,28,0.9285714285708955,4,0.9268939962946272,0.8312500744738864,0.8617886178856652,0.8833333333333185,0.8412698412698278,0.08792919639366956,17,0.04473684210526316,63,0.8412698412693279,20,0.9268939962946272,0.8312500744738864,0.8617886178856652,0.8833333333333185,0.8412698412698278,0.08792919639366956,17,0.04473684210526316,63,0.8412698412693279,20,per-group,7,0.8
0.9873988592651545,0.9588090308587206,0.9523809523804071,0.9523809523809071,0.9523809523809071,0.08683497941673701,2,0.005263157894736842,21,0.9523809523804071,2,0.9488349356363044,0.8817439955630744,0.8431372549014511,0.9555555555555343,0.7543859649122674,0.09243723615330068,16,0.042105263157894736,57,0.7894736842100123,24,0.9488349356363044,0.8817439955630744,0.8431372549014511,0.9555555555555343,0.7543859649122674,0.09243723615330068,16,0.042105263157894736,57,0.7894736842100123,24,trust,8,0.8
0.9610027855153204,0.8619478272326623,0.87179487179433,0.944444444444392,0.809523809523771,0.1632679311474364,5,0.013157894736842105,21,0.8571428571423163,6,0.9500841888001738,0.8728871392821289,0.811881188118304,0.9318181818181606,0.7192982456140224,0.09183821127043297,19,0.05,57,0.7719298245608899,26,0.9500841888001738,0.8728871392821289,0.811881188118304,0.9318181818181606,0.7192982456140224,0.09183821127043297,19,0.05,57,0.7719298245608899,26,per-group,8,0.8
0.9701216862233811,0.9181190621538179,0.9230769230763876,0.9230769230768876,0.9230769230768876,0.08906680495295692,4,0.010526315789473684,26,0.9230769230763876,4,0.9302047688881646,0.873594200099837,0.8518518518513375,0.9019607843137077,0.807017543859635,0.09224776227270538,16,0.042105263157894736,57,0.8421052631573799,18,0.9302047688881646,0.873594200099837,0.8518518518513375,0.9019607843137077,0.807017543859635,0.09224776227270538,16,0.042105263157894736,57,0.8421052631573799,18,trust,9,0.8
0.9856584093872229,0.9617394116474383,0.9615384615379245,0.9615384615384246,0.9615384615384246,0.10904207361403422,2,0.005263157894736842,26,0.9615384615379245,2,0.9440551844006301,0.9075436145201745,0.8785046728966819,0.9399999999999812,0.8245614035087574,0.09430665826078635,13,0.034210526315789476,57,0.8596491228065024,16,0.9440551844006301,0.9075436145201745,0.8785046728966819,0.9399999999999812,0.8245614035087574,0.09430665826078635,13,0.034210526315789476,57,0.8596491228065024,16,per-group,9,0.8
