w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,seed,setting,variant,d,acc_high,acc_low,nonlinear
0.9751291989664084,0.9227290615083376,0.9142857142851885,0.9411764705882075,0.8888888888888642,0.12594672932696702,6,0.015789473684210527,36,0.9166666666661412,6,0.9110599078341013,0.8676081688960909,0.8421052631573834,0.8888888888888747,0.7999999999999886,0.08073508290190193,21,0.05526315789473684,70,0.8142857142852027,26,0.9110599078341013,0.8676081688960909,0.8421052631573834,0.8888888888888747,0.7999999999999886,0.08073508290190193,21,0.05526315789473684,70,0.8142857142852027,26,trust,0,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9204618863049095,0.7432675005628252,0.805555555555033,0.8055555555555332,0.8055555555555332,0.12286229349260955,14,0.03684210526315789,36,0.805555555555033,14,0.8772811059907835,0.7752876163030473,0.7794117647053713,0.8030303030302909,0.7571428571428463,0.07818509585893335,30,0.07894736842105263,70,0.7571428571423463,34,0.8772811059907835,0.7752876163030473,0.7794117647053713,0.8030303030302909,0.7571428571428463,0.07818509585893335,30,0.07894736842105263,70,0.7571428571423463,34,per-group,0,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9777939276485789,0.9209253825125386,0.927536231883532,0.9696969696969403,0.8888888888888642,0.1593292508293037,5,0.013157894736842105,36,0.9166666666661412,6,0.9165898617511521,0.8795570876597782,0.8571428571423456,0.9047619047618903,0.8142857142857027,0.08603779544782399,19,0.05,70,0.8142857142852027,26,0.9165898617511521,0.8795570876597782,0.8571428571423456,0.9047619047618903,0.8142857142857027,0.08603779544782399,19,0.05,70,0.8142857142852027,26,fixed-tau,0,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9471899224806202,0.776281878344046,0.8732394366191938,0.8857142857142604,0.8611111111110872,0.14989331828888938,9,0.02368421052631579,36,0.8611111111105871,10,0.8820276497695853,0.7228378502813236,0.739130434782098,0.749999999999989,0.7285714285714182,0.08891976508662928,36,0.09473684210526316,70,0.7285714285709182,38,0.8820276497695853,0.7228378502813236,0.739130434782098,0.749999999999989,0.7285714285714182,0.08891976508662928,36,0.09473684210526316,70,0.7285714285709182,38,no-prior,0,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.5202680878552972,0.26341098048297684,0.4358974358969277,0.4047619047618951,0.47222222222220905,0.18942349879585918,44,0.11578947368421053,36,0.41666666666615504,42,0.6699078341013824,0.3645845794556007,0.4477611940293451,0.46874999999999273,0.4285714285714225,0.11838968674741197,74,0.19473684210526315,70,0.4285714285709225,80,0.6699078341013824,0.3645845794556007,0.4477611940293451,0.46874999999999273,0.4285714285714225,0.11838968674741197,74,0.19473684210526315,70,0.4285714285709225,80,DYNOTEARS,0,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.8749192506459949,0.6497503982014432,0.7179487179482025,0.6666666666666508,0.7777777777777561,0.0025302928532381554,22,0.05789473684210526,36,0.6944444444439251,22,0.8216589861751152,0.6448783199826632,0.633093525179347,0.6376811594202807,0.6285714285714197,0.08096937130362097,51,0.13421052631578947,70,0.6285714285709196,52,0.8216589861751152,0.6448783199826632,0.633093525179347,0.6376811594202807,0.6285714285714197,0.08096937130362097,51,0.13421052631578947,70,0.6285714285709196,52,PCMCI+,0,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.8554586563307494,0.6186623878974267,0.6944444444439251,0.6944444444444251,0.6944444444444251,0.10663537284237655,22,0.05789473684210526,36,0.6944444444439251,22,0.8465437788018433,0.64930724071674,0.6714285714280619,0.6714285714285619,0.6714285714285619,0.08457288190947106,46,0.12105263157894737,70,0.6714285714280619,46,0.8465437788018433,0.64930724071674,0.6714285714280619,0.6714285714285619,0.6714285714285619,0.08457288190947106,46,0.12105263157894737,70,0.6714285714280619,46,trust,1,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.8933301033591732,0.6820277883371314,0.7272727272722093,0.7999999999999734,0.6666666666666481,0.16163112320492615,18,0.04736842105263158,36,0.6944444444439251,22,0.843410138248848,0.672641780297081,0.635135135134628,0.6025641025640949,0.6714285714285619,0.07909608156836812,54,0.14210526315789473,70,0.6142857142852055,54,0.843410138248848,0.672641780297081,0.635135135134628,0.6025641025640949,0.6714285714285619,0.07909608156836812,54,0.14210526315789473,70,0.6142857142852055,54,per-group,1,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.8602228682170543,0.6126474303349857,0.714285714285194,0.7352941176470371,0.6944444444444251,0.13737831403262651,20,0.05263157894736842,36,0.7222222222217022,20,0.8447465437788019,0.6476536598551916,0.6857142857137759,0.685714285714276,0.685714285714276,0.09158554268841768,44,0.11578947368421053,70,0.6857142857137759,44,0.8447465437788019,0.6476536598551916,0.6857142857137759,0.685714285714276,0.685714285714276,0.09158554268841768,44,0.11578947368421053,70,0.6857142857137759,44,fixed-tau,1,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9161821705426356,0.7159571603073985,0.7384615384610215,0.8275862068965232,0.6666666666666481,0.1747291195931746,17,0.04473684210526316,36,0.6944444444439251,22,0.857926267281106,0.6918729816803673,0.6666666666661571,0.6764705882352843,0.6571428571428478,0.09196269452272349,46,0.12105263157894737,70,0.6571428571423478,48,0.857926267281106,0.6918729816803673,0.6666666666661571,0.6764705882352843,0.6571428571428478,0.09196269452272349,46,0.12105263157894737,70,0.6571428571423478,48,no-prior,1,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.2704295865633075,0.09074270692276051,0.17307692307676412,0.0947368421052629,0.9999999999999721,0.0,344,0.9052631578947369,36,0.13888888888838505,62,0.5609216589861751,0.2566268421945559,0.34196891191663265,0.2682926829268271,0.4714285714285647,0.06779827903862574,127,0.33421052631578946,70,0.2999999999994957,98,0.5609216589861751,0.2566268421945559,0.34196891191663265,0.2682926829268271,0.4714285714285647,0.06779827903862574,127,0.33421052631578946,70,0.2999999999994957,98,DYNOTEARS,1,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.8234819121447027,0.6274907111697016,0.6956521739125242,0.7272727272727052,0.6666666666666481,0.04715521538310827,21,0.05526315789473684,36,0.666666666666148,24,0.8083870967741935,0.6284379139677824,0.575999999999498,0.6545454545454427,0.514285714285707,0.0838314940144147,53,0.1394736842105263,70,0.528571428570921,66,0.8083870967741935,0.6284379139677824,0.575999999999498,0.6545454545454427,0.514285714285707,0.0838314940144147,53,0.1394736842105263,70,0.528571428570921,66,PCMCI+,1,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9900678294573644,0.9656813865414333,0.9722222222216951,0.9722222222221951,0.9722222222221951,0.08798293731919485,2,0.005263157894736842,36,0.9722222222216951,2,0.9268202764976958,0.8824454319055582,0.8805970149248611,0.9218749999999857,0.8428571428571309,0.08191514853856073,16,0.042105263157894736,70,0.8428571428566308,22,0.9268202764976958,0.8824454319055582,0.8805970149248611,0.9218749999999857,0.8428571428571309,0.08191514853856073,16,0.042105263157894736,70,0.8428571428566308,22,trust,2,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9844961240310077,0.9185309234688278,0.9589041095885147,0.9459459459459203,0.9722222222221951,0.07905362808524663,3,0.007894736842105263,36,0.9444444444439181,4,0.9336866359447006,0.8660858144948518,0.8592592592587472,0.8923076923076787,0.8285714285714167,0.07905362808524663,19,0.05,70,0.8428571428566308,22,0.9336866359447006,0.8660858144948518,0.8592592592587472,0.8923076923076787,0.8285714285714167,0.07905362808524663,19,0.05,70,0.8428571428566308,22,per-group,2,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9886950904392765,0.9581747969139847,0.9722222222216951,0.9722222222221951,0.9722222222221951,0.07761883196519248,2,0.005263157894736842,36,0.9722222222216951,2,0.9267741935483871,0.881991025218516,0.8740740740735617,0.9076923076922938,0.8428571428571309,0.08624314662799164,17,0.04473684210526316,70,0.8428571428566308,22,0.9267741935483871,0.881991025218516,0.8740740740735617,0.9076923076922938,0.8428571428571309,0.08624314662799164,17,0.04473684210526316,70,0.8428571428566308,22,fixed-tau,2,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9807009043927648,0.9317879932696692,0.8955223880591776,0.9677419354838398,0.8333333333333102,0.13575849041866897,7,0.018421052631578946,36,0.8888888888883641,8,0.9320737327188939,0.8633224683400462,0.8137931034477652,0.7866666666666562,0.8428571428571309,0.07203511736500802,27,0.07105263157894737,70,0.7999999999994886,28,0.9320737327188939,0.8633224683400462,0.8137931034477652,0.7866666666666562,0.8428571428571309,0.07203511736500802,27,0.07105263157894737,70,0.7999999999994886,28,no-prior,2,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.42482235142118857,0.1752274058772991,0.29629629629584087,0.4444444444444198,0.22222222222221605,0.4385103945756078,38,0.1,36,0.2777777777772701,52,0.6927649769585253,0.317245416187314,0.4607329842927246,0.36363636363636065,0.6285714285714197,0.0715935338082625,103,0.2710526315789474,70,0.31428571428520985,96,0.6927649769585253,0.317245416187314,0.4607329842927246,0.36363636363636065,0.6285714285714197,0.0715935338082625,103,0.2710526315789474,70,0.31428571428520985,96,DYNOTEARS,2,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.8752422480620154,0.6599232555654421,0.7179487179482025,0.6666666666666508,0.7777777777777561,0.002652298416990936,22,0.05789473684210526,36,0.6944444444439251,22,0.8401382488479263,0.6644019190921522,0.6363636363631286,0.6774193548386988,0.5999999999999914,0.08487354934370996,48,0.12631578947368421,70,0.6285714285709196,52,0.8401382488479263,0.6644019190921522,0.6363636363631286,0.6774193548386988,0.5999999999999914,0.08487354934370996,48,0.12631578947368421,70,0.6285714285709196,52,PCMCI+,2,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
1.0,1.0,0.9999999999994722,0.9999999999999721,0.9999999999999721,0.07206631485541262,0,0.0,36,0.9999999999994722,0,0.9893005279034691,0.9681898397234822,0.9104477611935166,0.9242424242424103,0.8970588235293987,0.07534205643974956,12,0.031578947368421054,68,0.9117647058818396,12,0.9893005279034691,0.9681898397234822,0.9104477611935166,0.9242424242424103,0.8970588235293987,0.07534205643974956,12,0.031578947368421054,68,0.9117647058818396,12,trust,3,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
0.9998385012919897,0.9985380116959064,0.9859154929572187,0.9999999999999714,0.9722222222221951,0.09968603286311854,1,0.002631578947368421,36,0.9722222222216951,2,0.9874622926093514,0.9615239255284237,0.8905109489045966,0.88405797101448,0.8970588235293987,0.07274386181903246,15,0.039473684210526314,68,0.8970588235288987,14,0.9874622926093514,0.9615239255284237,0.8905109489045966,0.88405797101448,0.8970588235293987,0.07274386181903246,15,0.039473684210526314,68,0.8970588235288987,14,per-group,3,BA_d20_h90_l30_LIN,v1,20,0.9,0.3,False
