d,T,graph,noise,K,prior_acc,prior_mode,seed,nonlinear,missing_ratio,method,tau,time,w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk
10,500,ER,gaussian,1,0.2,random,0,False,0.0,PRCD-MAP(learn_tau),0.5375965237617493,42.58575177192688,0.2547332185886403,0.0590444224259099,0.1443298969070796,0.0777777777777769,0.9999999999998572,0.0,83,0.9222222222222224,7,0.0,14,0.6005639097744361,0.2303511635427632,0.3703703703699726,0.2499999999999937,0.7142857142856632,0.0512835554142094,34,0.3777777777777777,14,0.3571428571423316,18,0.6005639097744361,0.2303511635427632,0.3703703703699726,0.2499999999999937,0.7142857142856632,0.0512835554142094,34,0.3777777777777777,14,0.3571428571423316,18
10,500,ER,gaussian,1,0.2,random,0,False,0.0,PRCD-MAP(fixed_tau),1.0,43.79466676712036,0.1979345955249569,0.0552138366098598,0.1443298969070796,0.0777777777777769,0.9999999999998572,0.0,83,0.9222222222222224,7,0.0,14,0.5751879699248121,0.2155337736397126,0.3499999999995275,0.2692307692307589,0.4999999999999643,0.0751581620331385,26,0.2888888888888888,14,0.2857142857137653,20,0.5751879699248121,0.2155337736397126,0.3499999999995275,0.2692307692307589,0.4999999999999643,0.0751581620331385,26,0.2888888888888888,14,0.2857142857137653,20
10,500,ER,gaussian,1,0.2,random,0,False,0.0,PRCD-MAP(no_l1_weight),0.408609002828598,39.43606734275818,0.3511187607573149,0.0849708579810172,0.1666666666661527,0.19999999999996,0.1428571428571224,0.2492823388109255,10,0.1111111111111111,7,0.1428571428566224,12,0.6682330827067668,0.2824603156223391,0.476190476190009,0.3571428571428444,0.7142857142856632,0.0630714351208365,22,0.2444444444444444,14,0.3571428571423316,18,0.6682330827067668,0.2824603156223391,0.476190476190009,0.3571428571428444,0.7142857142856632,0.0630714351208365,22,0.2444444444444444,14,0.3571428571423316,18
10,500,ER,gaussian,1,0.2,random,0,False,0.0,PRCD-MAP(uniform),0.5000005960464478,42.9142210483551,0.8915662650602408,0.763790970933828,0.8571428571422346,0.8571428571427346,0.8571428571427346,0.1266403887140091,2,0.0222222222222222,7,0.8571428571422346,2,0.8994360902255639,0.7744360689844135,0.8148148148142551,0.8461538461537811,0.7857142857142296,0.1050188589335685,5,0.0555555555555555,14,0.7857142857137297,6,0.8994360902255639,0.7744360689844135,0.8148148148142551,0.8461538461537811,0.7857142857142296,0.1050188589335685,5,0.0555555555555555,14,0.7857142857137297,6
10,500,ER,gaussian,1,0.2,random,0,False,0.0,DYNOTEARS,,52.12447881698608,0.8812392426850257,0.8703007518796992,0.923076923076284,0.9999999999998334,0.8571428571427346,0.2961699327631811,1,0.0111111111111111,7,0.8571428571422346,2,0.9097744360902256,0.8179852094360803,0.8148148148142551,0.8461538461537811,0.7857142857142296,0.1324053817058927,5,0.0555555555555555,14,0.7857142857137297,6,0.9097744360902256,0.8179852094360803,0.8148148148142551,0.8461538461537811,0.7857142857142296,0.1324053817058927,5,0.0555555555555555,14,0.7857142857137297,6
10,500,ER,gaussian,1,0.2,random,0,False,0.0,PCMCI+,,0.4057924747467041,0.9208261617900172,0.7968253968253968,0.7692307692301539,0.8333333333331945,0.7142857142856123,0.1174241153107356,3,0.0333333333333333,7,0.7142857142851122,4,0.9116541353383458,0.7479484919702312,0.7499999999994514,0.89999999999991,0.6428571428570969,0.1174241153107356,6,0.0666666666666666,14,0.6428571428565969,10,0.9116541353383458,0.7479484919702312,0.7499999999994514,0.89999999999991,0.6428571428570969,0.1174241153107356,6,0.0666666666666666,14,0.6428571428565969,10
10,500,ER,gaussian,1,0.2,random,0,False,0.0,VARLiNGAM,,0.5717728137969971,0.7573149741824441,0.4896825396825396,0.5454545454539834,0.7499999999998125,0.4285714285713673,0.4683134364581784,5,0.0555555555555555,7,0.4285714285708673,8,0.7655075187969924,0.472251721201301,0.5806451612897898,0.5294117647058513,0.6428571428570969,0.0879861607891123,13,0.1444444444444444,14,0.5714285714280306,12,0.7655075187969924,0.472251721201301,0.5806451612897898,0.5294117647058513,0.6428571428570969,0.0879861607891123,13,0.1444444444444444,14,0.5714285714280306,12
10,500,ER,gaussian,1,0.2,random,0,False,0.0,NGC,,6.966016054153442,0.5920826161790017,0.1414556115814688,0.2666666666661333,0.2499999999999687,0.2857142857142449,1.1275708950943684,11,0.1222222222222222,7,0.2857142857137449,10,0.6541353383458647,0.2624136133756427,0.3870967741930282,0.3529411764705675,0.4285714285713979,1.1030584843314473,19,0.2111111111111111,14,0.3571428571423316,18,0.6541353383458647,0.2624136133756427,0.3870967741930282,0.3529411764705675,0.4285714285713979,1.1030584843314473,19,0.2111111111111111,14,0.3571428571423316,18
10,500,ER,gaussian,1,0.2,random,0,False,0.0,PRCD-MAP(NAM),0.2751250267028808,82.47996425628662,0.5955249569707401,0.1240966164800793,0.2499999999995659,0.1764705882352837,0.4285714285713673,3.585187145994377e-06,18,0.2,7,0.0,14,0.7904135338345865,0.4788744925620488,0.49999999999952,0.3846153846153698,0.7142857142856632,0.0536923047960104,20,0.2222222222222222,14,0.4285714285708979,16,0.7904135338345865,0.4788744925620488,0.49999999999952,0.3846153846153698,0.7142857142856632,0.0536923047960104,20,0.2222222222222222,14,0.4285714285708979,16
10,500,ER,gaussian,1,0.2,random,1,False,0.0,PRCD-MAP(learn_tau),0.4790244996547699,41.78803944587708,0.2804878048780488,0.0910803234093952,0.1666666666661944,0.2499999999999375,0.1249999999999843,0.4421131637827236,10,0.1111111111111111,8,0.1249999999994843,14,0.4981467753891772,0.2176509603981274,0.3582089552234636,0.2499999999999947,0.6315789473683878,0.0432140686404165,43,0.4777777777777778,19,0.1052631578942313,34,0.4981467753891772,0.2176509603981274,0.3582089552234636,0.2499999999999947,0.6315789473683878,0.0432140686404165,43,0.4777777777777778,19,0.1052631578942313,34
